r [um],n,q,q2
4.600000, 1.487499, 0.153600, 2.218645
4.700000, 1.487034, 0.116400, 2.217249
4.800000, 1.486560, 0.078400, 2.215822
4.900000, 1.486075, 0.039600, 2.214366
5.000000, 1.485580, 0.000000, 2.212879
0.000000, 1.498031, 1.000000, 2.250434
0.100000, 1.498026, 0.999600, 2.250419
0.200000, 1.498011, 0.998400, 2.250374
0.300000, 1.497986, 0.996400, 2.250299
0.400000, 1.497951, 0.993600, 2.250193
0.500000, 1.497907, 0.990000, 2.250058
0.600000, 1.497852, 0.985600, 2.249893
0.700000, 1.497788, 0.980400, 2.249698
0.800000, 1.497713, 0.974400, 2.249473
0.900000, 1.497629, 0.967600, 2.249217
1.000000, 1.497535, 0.960000, 2.248932
1.100000, 1.497430, 0.951600, 2.248616
1.200000, 1.497316, 0.942400, 2.248271
1.300000, 1.497192, 0.932400, 2.247896
1.400000, 1.497058, 0.921600, 2.247490
1.500000, 1.496914, 0.910000, 2.247055
1.600000, 1.496760, 0.897600, 2.246589
1.700000, 1.496597, 0.884400, 2.246093
1.800000, 1.496423, 0.870400, 2.245568
1.900000, 1.496239, 0.855600, 2.245012
2.000000, 1.496046, 0.840000, 2.244426
2.100000, 1.495842, 0.823600, 2.243811
2.200000, 1.495628, 0.806400, 2.243165
2.300000, 1.495405, 0.788400, 2.242489
2.400000, 1.495171, 0.769600, 2.241783
2.500000, 1.494928, 0.750000, 2.241047
2.600000, 1.494674, 0.729600, 2.240281
2.700000, 1.494411, 0.708400, 2.239485
2.800000, 1.494137, 0.686400, 2.238659
2.900000, 1.493854, 0.663600, 2.237803
3.000000, 1.493561, 0.640000, 2.236917
3.100000, 1.493257, 0.615600, 2.236001
3.200000, 1.492944, 0.590400, 2.235055
3.300000, 1.492620, 0.564400, 2.234079
3.400000, 1.492287, 0.537600, 2.233072
3.500000, 1.491943, 0.510000, 2.232036
3.600000, 1.491590, 0.481600, 2.230970
3.700000, 1.491226, 0.452400, 2.229874
3.800000, 1.490852, 0.422400, 2.228747
3.900000, 1.490468, 0.391600, 2.227591
4.000000, 1.490075, 0.360000, 2.226404
4.100000, 1.489671, 0.327600, 2.225188
4.200000, 1.489257, 0.294400, 2.223942
4.300000, 1.488833, 0.260400, 2.222665
4.400000, 1.488399, 0.225600, 2.221358
4.500000, 1.487954, 0.190000, 2.220022
4.600000, 1.487500, 0.153600, 2.218655
4.700000, 1.487035, 0.116400, 2.217259
4.800000, 1.486561, 0.078400, 2.215832
4.900000, 1.486076, 0.039600, 2.214375
5.000000, 1.485581, 0.000000, 2.212888
0.000000, 1.498031, 1.000000, 2.250445
0.100000, 1.498026, 0.999600, 2.250430
0.200000, 1.498012, 0.998400, 2.250385
0.300000, 1.497987, 0.996400, 2.250310
0.400000, 1.497952, 0.993600, 2.250205
0.500000, 1.497907, 0.990000, 2.250070
0.600000, 1.497853, 0.985600, 2.249905
0.700000, 1.497788, 0.980400, 2.249709
0.800000, 1.497714, 0.974400, 2.249484
0.900000, 1.497630, 0.967600, 2.249229
1.000000, 1.497535, 0.960000, 2.248943
1.100000, 1.497431, 0.951600, 2.248628
1.200000, 1.497317, 0.942400, 2.248282
1.300000, 1.497193, 0.932400, 2.247907
1.400000, 1.497059, 0.921600, 2.247501
1.500000, 1.496915, 0.910000, 2.247066
